tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
aQO0VmltMn	Address City Name	City	The city or township for the address to describe where a mail piece is intended to be delivered.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C25160; NCI Thesaurus:C42614		Project 5 (COVID-19)	Qualified	True
ZqxxvEdcmt	Address County Name	County	A region created by territorial division by a local government  where mail piece is intended to be delivered.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C49292; NCI Thesaurus:C42614		Project 5 (COVID-19)	Qualified	True
elEZcZ9NdL	Address Line 1	Address Line 1	The address where a mail piece is intended to be delivered to a person, including urban-style street address, rural route, and post office box.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C25509; NCI Thesaurus:C80230; NCI Thesaurus:C25704		Project 5 (COVID-19)	Qualified	True
pCW788Mqei	Address Line 2	Address Line 2	The additional address text to describe where a mail piece is intended to be delivered.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C25666; NCI Thesaurus:C80230; NCI Thesaurus:C25704		Project 5 (COVID-19)	Qualified	True
w_BHatIMoA	Address Postal Code	Postal Code	the address or postal information for a person, the address number indicating a postal district (in the USA this is a 5 or 9 digit number (10 including the hyphen)).	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C25621		Project 5 (COVID-19)	Qualified	True
6AT_JFxD1	Address State Code	State	The state for the address to describe where a mail piece is intended to be delivered.	Value List	AL | AK | AZ | AR | CA | CO | CT | DC | DE | FL | GA | HI | ID | IL | IN | IA | KS | KY | LA | ME | MD | MA | MI | MN | MS | MO | MT | NE | NV | NH | NJ | NM | NY | NC | ND | OH | OK | OR | PA | RI | SC | SD | TN | TX | UT | VT | VA | WA | WV | WI | WY | AS | GU | MH | PR | UM | VI	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25407; NCI Thesaurus:C87194; NCI Thesaurus:C25162		Project 5 (COVID-19)	Qualified	True
PDjBiGXjO	Age	What is the person's age (in years if more than 24 months old or months if 24 months or younger)?	The number of years (if more than 24 months old) or months (if 24 months or younger) that the person has been alive.	Number		ScHARe > Core	NCI Thesaurus:C25150		ScHARe	Qualified	True
fmMMaUGpKS	Age	What is the person's age?	The length of time that one has existed in completed years, months and days at the time of the event	Number		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25150		Project 5 (COVID-19)	Qualified	True
GNVoEdFQR0	Age Units	Age Unit	The unit of measure (years or months) that represents the person's age.	Value List	Years | Months	ScHARe > Core	NCI Thesaurus:C50400		ScHARe	Qualified	True
s0OB4q7Pxk	Age Units	What is the unit of measure for age?	The unit of measure that represents the person's age.	Value List	Days | Don't Know | Months | Prefer not to answer | Unknown | Weeks | Years	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25150; NCI Thesaurus:C25709		Project 5 (COVID-19)	Qualified	True
_N_myh18QM	Annual Household Income Range	What is your annual household income from all sources within family, not including roommates?	A demographic parameter indicating the amount of earnings made by a family.	Value List	Less than $10,000 | $10,000-$24,999 | $25,000-$34,999 | $35,000-$49,999 | $50,000-$74,999 | $75,000-$99,999 | $100,000-$149,999 | $150,000-$199,999 | $200,000 or more	ScHARe > Core	NCI Thesaurus:C70811		ScHARe	Qualified	True
_qZuIkipzA	Birthplace - Country Outside US	In what country were you born? (A country outside the United States)	The location where someone was born, a country other than USA	File		ScHARe > Core	NCI Thesaurus:C176764; NCI Thesaurus:C25464		ScHARe	Qualified	True
0qP44x2oX	Birthplace - US	Where were you born? (In the United States, including U.S. Territories--Puerto Rico, Guam, U.S. Virgin Islands, American Samoa and Northern Mariana Islands). If you were born outside the US, skip to the next question.	The location where someone was born -                                                 a U.S. state or territory	File		ScHARe > Core	NCI Thesaurus:C176764; NCI Thesaurus:C30010; NCI Thesaurus:C89811		ScHARe	Qualified	True
cRUgcKV8co	CMS Discharge Disposition	What was the patient's CMS discharge status code?	The CMS code specifying the status of the patient after being discharged from the hospital.	Value List	Home | Alternative home | Other healthcare facility | Hospice | Long-term care | Left against advice | Expired | Psychiatric hospital | Rehabilitation | Skilled nursing facility | Other	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25179; NCI Thesaurus:C95516; NCI Thesaurus:C25166; NCI Thesaurus:C41205		Project 5 (COVID-19)	Qualified	True
