variable_name,dataset,description,data_type,units,value_encoding,n_codes,dbgap_variable_id,dbgap_study
exam1_m_to_a1,MESA_AirNRAirExposure,DISTANCE FROM RESIDENCE AT EXAM 1 TO NEAREST A1 ROAD (LIMITED ACCESS HIGHWAY),NUMERIC,METERS,,,phv00159058.v1,phs000209.v13
exam1_min_m_to_a2_a3,MESA_AirNRAirExposure,"DISTANCE FROM RESIDENCE AT EXAM 1 TO NEAREST A2 OR A3 ROAD (HIGHWAY WITHOUT LIMITED ACCESS, OR SECONDARY STATE OR COUNTY HIGHWAY)",NUMERIC,METERS,,,phv00159059.v1,phs000209.v13
exam1_near_roadway,MESA_AirNRAirExposure,INDICATOR FOR RESIDENCE NEAR A ROAD AT EXAM 1,NUMERIC,,"0=HOME MORE THAN 100M FROM A1 ROAD (LIMITED ACCESS HIGHWAY), A2 ROAD (HIGHWAY WITHOUT LIMITED ACCESS), AND MORE THAN 50M FROM A3 ROAD (SECONDARY STATE OR COUNTY HIGHWAY)|1=HOME WITHIN 100M OF A1 ROAD OR A2 ROAD OR WITHIN 50M OF A3 ROAD",2,phv00159057.v1,phs000209.v13
exam2_m_to_a1,MESA_AirNRAirExposure,DISTANCE FROM RESIDENCE AT EXAM 2 TO NEAREST A1 ROAD (LIMITED ACCESS HIGHWAY),NUMERIC,METERS,,,phv00159061.v1,phs000209.v13
exam2_min_m_to_a2_a3,MESA_AirNRAirExposure,"DISTANCE FROM RESIDENCE AT EXAM 2 TO NEAREST A2 OR A3 ROAD (HIGHWAY WITHOUT LIMITED ACCESS, OR SECONDARY STATE OR COUNTY HIGHWAY)",NUMERIC,METERS,,,phv00159062.v1,phs000209.v13
exam2_near_roadway,MESA_AirNRAirExposure,INDICATOR FOR RESIDENCE NEAR A ROAD AT EXAM 2,NUMERIC,,"0=HOME MORE THAN 100M FROM A1 ROAD (LIMITED ACCESS HIGHWAY), A2 ROAD (HIGHWAY WITHOUT LIMITED ACCESS), AND MORE THAN 50M FROM A3 ROAD (SECONDARY STATE OR COUNTY HIGHWAY)|1=HOME WITHIN 100M OF A1 ROAD OR A2 ROAD OR WITHIN 50M OF A3 ROAD",2,phv00159060.v1,phs000209.v13
exam3_m_to_a1,MESA_AirNRAirExposure,DISTANCE FROM RESIDENCE AT EXAM 3 TO NEAREST A1 ROAD (LIMITED ACCESS HIGHWAY),NUMERIC,METERS,,,phv00159064.v1,phs000209.v13
exam3_min_m_to_a2_a3,MESA_AirNRAirExposure,"DISTANCE FROM RESIDENCE AT EXAM 3 TO NEAREST A2 OR A3 ROAD (HIGHWAY WITHOUT LIMITED ACCESS, OR SECONDARY STATE OR COUNTY HIGHWAY)",NUMERIC,METERS,,,phv00159065.v1,phs000209.v13
exam3_near_roadway,MESA_AirNRAirExposure,INDICATOR FOR RESIDENCE NEAR A ROAD AT EXAM 3,NUMERIC,,"0=HOME MORE THAN 100M FROM A1 ROAD (LIMITED ACCESS HIGHWAY), A2 ROAD (HIGHWAY WITHOUT LIMITED ACCESS), AND MORE THAN 50M FROM A3 ROAD (SECONDARY STATE OR COUNTY HIGHWAY)|1=HOME WITHIN 100M OF A1 ROAD OR A2 ROAD OR WITHIN 50M OF A3 ROAD",2,phv00159063.v1,phs000209.v13
exam4_m_to_a1,MESA_AirNRAirExposure,DISTANCE FROM RESIDENCE AT EXAM 4 TO NEAREST A1 ROAD (LIMITED ACCESS HIGHWAY),NUMERIC,METERS,,,phv00159067.v1,phs000209.v13
exam4_min_m_to_a2_a3,MESA_AirNRAirExposure,"DISTANCE FROM RESIDENCE AT EXAM 4 TO NEAREST A2 OR A3 ROAD (HIGHWAY WITHOUT LIMITED ACCESS, OR SECONDARY STATE OR COUNTY HIGHWAY)",NUMERIC,METERS,,,phv00159068.v1,phs000209.v13
