field_id,field_name,description,category,data_type,units,value_encoding,encoding_id,encoding_name,n_codes,participant_count
19,Heel ultrasound method,Method used for the Ultrasound Bone Densitometry of heel,Bone-densitometry of heel,Categorical single,,1=Direct entry|2=Manual entry|6=Not performed - equipment failure|7=Not performed - other reason|3=Not performed,100260,,5,324399
21,Weight method,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed",Body size measures,Categorical single,,1=Direct entry|2=Manual entry of full results|3=Manual measurement of weight only|4=Not performed|-1=Question not asked due to previous answers,100261,,5,500322
23,Spirometry method,Spirometry method,Spirometry,Categorical single,,0=Direct entry|1=Manual|6=Not performed - equipment failure|7=Not performed - other reason|9=Cannot be measured,100270,,5,459857
31,Sex,"Sex of participant. <p>Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.",Baseline characteristics,Categorical single,,0=Female|1=Male,9,,2,501938
33,Date of birth,"Date of birth (DOB) of participant. <p>Acquired from central registry, updated by participant. <p> This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.",Baseline characteristics,Date,,,,,,501938
34,Year of birth,"Year of birth of participant.<p>Acquired from central registry, updated by participant.",Baseline characteristics,Integer,years,,,,,501938
36,Blood pressure device ID,Blood pressure (Omron) gadget ID,Blood pressure,Text,,,,,,498500
37,Blood pressure manual sphygmomanometer device ID,Blood pressure manual sphygmomanometer gadget ID,Blood pressure,Text,,,,,,498500
38,Hand grip dynamometer device ID,Hand grip dynamometer device id. Dynamometer calibration records are available in the associated Resources.,Hand grip strength,Text,,,,,,497770
39,Height measure device ID,Height measure gadget id,Body size measures,Text,,,,,,497770
40,Manual scales device ID,Manual scales gadget id,Body size measures,Text,,,,,,497770
41,Seating box device ID,Sitting box gadget id,Body size measures,Text,,,,,,497770
42,Spirometer device ID,Spirometer gadget ID,Spirometry,Text,,,,,,497770
43,Impedance device ID,Impedance (Tanita) gadget id,Body composition by impedance,Text,,,,,,497770
44,Tape measure device ID,Tape measure gadget id,Body size measures,Text,,,,,,497770
45,Heel ultrasound device id,Ultrasound heel (Sahara) gadget ID,Bone-densitometry of heel,Text,,,,,,497533
46,Hand grip strength (left),"Left grip strength. <br> <br> An issue has been identified with the a small amount of grip strength data (~F46~ and ~F47~) collected in Cheadle during the first repeat visit in 2013 (Instance 1). We are working on modelling a correction factor for this data. In the meantime, researchers are advised to treat the 2013 grip strength data with caution. <br> In particular, readings from dynamometer 7336 are lower than expected. The mean error is approximately 2 kg for readings taken in January 2013, gradually increasing to a mean error of 14 kg for readings taken in June 2013.<br> The dynamometer was recalibrated after June 2013, during scheduled yearly external calibration, and there is no evidence of problems with dynamometer 7336 during instances 0, 2 or 3.",Hand grip strength,Integer,Kg,,,,,498869
47,Hand grip strength (right),"Right grip strength. <br> <br> An issue has been identified with the a small amount of grip strength data (~F46~ and ~F47~) collected in Cheadle during the first repeat visit in 2013 (Instance 1). We are working on modelling a correction factor for this data. In the meantime, researchers are advised to treat the 2013 grip strength data with caution. <br> In particular, readings from dynamometer 7336 are lower than expected. The mean error is approximately 2 kg for readings taken in January 2013, gradually increasing to a mean error of 14 kg for readings taken in June 2013. <br> The dynamometer was recalibrated after June 2013, during scheduled yearly external calibration, and there is no evidence of problems with dynamometer 7336 during instances 0, 2 or 3.",Hand grip strength,Integer,Kg,,,,,498931
48,Waist circumference,Waist circumference,Body size measures,Continuous,cm,,,,,499899
49,Hip circumference,Hip circumference,Body size measures,Continuous,cm,,,,,499832
50,Standing height,Standing height was measured using a Seca 202 device,Body size measures,Continuous,cm,,,,,499541
51,Seated height,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~",Body size measures,Continuous,cm,,,,,496989
52,Month of birth,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant.",Baseline characteristics,Categorical single,,1=January|2=February|3=March|4=April|5=May|6=June|7=July|8=August|9=September|10=October|11=November|12=December,8,,12,501938
77,"Heel bone ultrasound T-score, manual entry",This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,Bone-densitometry of heel,Continuous,Std.Devs,,,,,42691
78,"Heel bone mineral density (BMD) T-score, automated",This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,Bone-densitometry of heel,Continuous,Std.Devs,,,,,278763
84,Cancer year/age first occurred,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",Medical conditions,Integer,,-3=Preferred not to answer|-1=Time uncertain/unknown,37,,2,52398
87,Non-cancer illness year/age first occurred,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",Medical conditions,Integer,,-3=Preferred not to answer|-1=Time uncertain/unknown,37,,2,400878
92,Operation year/age first occurred,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",Operations,Integer,,-3=Preferred not to answer|-1=Time uncertain/unknown,37,,2,406818
93,"Systolic blood pressure, manual reading","Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",Blood pressure,Integer,mmHg,,,,,54054
94,"Diastolic blood pressure, manual reading","Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",Blood pressure,Integer,mmHg,,,,,54054
95,Pulse rate (during blood-pressure measurement),Pulse measured during automated blood-pressure reading,Blood pressure,Integer,,,,,,54054
96,Time since interview start at which blood pressure screen(s) shown,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments.",Blood pressure,Integer,seconds,,,,,501109
102,"Pulse rate, automated reading",This is the pulse rate measured during the automated blood pressure readings.,Blood pressure,Integer,bpm,,,,,476035
115,Father's month of birth,Father's month of birth,Early life factors,Categorical single,,0=unknown|1=January|2=February|3=March|4=April|5=May|6=June|7=July|8=August|9=September|10=October|11=November|12=December,100279,,13,322790
117,Mother's month of birth,Mother's month of birth,Early life factors,Categorical single,,0=unknown|1=January|2=February|3=March|4=April|5=May|6=June|7=July|8=August|9=September|10=October|11=November|12=December,100279,,13,322790
118,Mother's day of birth,Mother's day of birth (this is the day-within-month),Early life factors,Integer,day-of-month,,,,,279275
